BankTransactionID,TransactionDate,ClearingDate,BankReference,Counterparty,Narrative,Currency,BankAmount
BNK00000002,2025-11-08,2025-11-08,REF-2024-1,"Rodriguez, Harrison and Gonzalez","ACH REF-2024-1 Rodriguez, Harrison ",GBP,7972.14
BNK00000004,2026-05-15,2026-05-15,REF-2025-2,Maldonado-Mcconnell,WIRE REF-2025-2 Maldonado-Mcconnell,USD,7048.56
BNK00000006,2026-05-02,2026-05-02,REF-2024-3,Turner-Lewis,ACH REF-2024-3 Turner-Lewis,USD,27869.56
BNK00000008,2026-05-26,2026-05-26,REF-2025-4,Jones PLC,ACH REF-2025-4 Jones PLC,GBP,26771.08
BNK00000010,2025-10-27,2025-10-27,REF-2023-5,Johnson PLC,WIRE REF-2023-5 Johnson PLC,USD,46279.8
BNK00000012,2025-11-19,2025-11-19,REF-2023-6,Patton Group,CHK REF-2023-6 Patton Group,GBP,82198.08
BNK00000014,2025-12-30,2025-12-30,REF-2023-7,Ford-Webb,ACH REF-2023-7 Ford-Webb,USD,65578.32
BNK00000016,2026-03-13,2026-03-13,REF-2023-8,"Adams, Lyons and Stevens","DEP REF-2023-8 Adams, Lyons and Ste",GBP,74524.4
BNK00000018,2025-08-20,2025-08-20,REF-2024-9,Garcia Inc,ACH REF-2024-9 Garcia Inc,USD,22010.14
BNK00000020,2026-05-25,2026-05-25,REF-2025-10,Morris Group,TRF REF-2025-10 Morris Group,EUR,16082.2
BNK00000023,2026-05-05,2026-05-05,REF-2025-11,Simon PLC,DEP REF-2025-11 Simon PLC,USD,75112.69
BNK00000025,2025-10-23,2025-10-23,REF-2023-12,King and Sons,TRF REF-2023-12 King and Sons,USD,95386.21
BNK00000027,2025-12-19,2025-12-19,REF-2025-13,Harper Group,CHK REF-2025-13 Harper Group,GBP,19971.22
BNK00000029,2025-12-13,2025-12-13,REF-2024-14,Fuller-Watson,ACH REF-2024-14 Fuller-Watson,USD,2045.73
BNK00000031,2025-07-24,2025-07-24,REF-2025-15,"Frank, Mcintosh and Compton","DEP REF-2025-15 Frank, Mcintosh and ",USD,94059.03
BNK00000033,2025-09-27,2025-09-27,REF-2025-16,Clark-Robinson,CHK REF-2025-16 Clark-Robinson,EUR,42371.48
BNK00000035,2026-01-28,2026-01-28,REF-2024-17,Johnson-Collins,WIRE REF-2024-17 Johnson-Collins,USD,89971.45
BNK00000037,2026-04-08,2026-04-08,REF-2025-18,Davis Inc,WIRE REF-2025-18 Davis Inc,USD,55436.76
BNK00000039,2025-07-17,2025-07-17,REF-2023-19,"Williams, Jackson and Shaw","TRF REF-2023-19 Williams, Jackson an",USD,85977.58
BNK00000041,2026-03-30,2026-03-30,REF-2023-20,"Stanley, Boone and Meyer","ACH REF-2023-20 Stanley, Boone and M",EUR,72362.92
BNK00000043,2026-01-17,2026-01-17,REF-2023-21,Murray-Lang,WIRE REF-2023-21 Murray-Lang,USD,9783.39
BNK00000045,2025-12-01,2025-12-01,REF-2023-22,Haynes Ltd,DEP REF-2023-22 Haynes Ltd,GBP,39935.03
BNK00000047,2025-07-19,2025-07-19,REF-2024-23,Rogers-Wyatt,TRF REF-2024-23 Rogers-Wyatt,USD,46316.54
BNK00000049,2025-10-10,2025-10-10,202324,Christian Inc,ACH REF-2023-24 Christian Inc,USD,96902.73
BNK00000050,2025-06-12,2025-06-14,BNK-INV-2024-922157,Hernandez-Wood,DEP BNK-INV-2024-922157 Hernandez-Wood,GBP,11787.68
