ARInvoiceID,CustomerID,CustomerName,InvoiceNumber,InvoiceDate,DueDate,Currency,InvoiceAmount
AR00000001,C91959,Rodriguez Group,REF-2025-1,2026-02-25,2026-04-26,GBP,76220.02
AR00000003,C10074,"Welch, Ochoa and Oconnor",REF-2023-2,2026-03-09,2026-05-08,EUR,53983.97
AR00000005,C41385,Hanson and Sons,REF-2024-3,2025-11-15,2025-12-15,USD,87884.32
AR00000007,C79822,Carpenter and Sons,REF-2023-4,2025-07-16,2025-08-30,USD,73217.57
AR00000009,C31643,Wagner-Allen,INV-2025-65461,2026-03-19,2026-04-18,GBP,27240.61
AR00000010,C50857,Rhodes-Horton,REF-2025-5,2026-06-11,2026-09-09,USD,69017.78
AR00000012,C18392,James LLC,REF-2024-6,2025-10-04,2025-12-03,USD,12188.32
AR00000014,C92719,Yates-Reese,REF-2023-7,2025-06-14,2025-07-14,USD,58885.17
AR00000016,C77391,Valdez-Sanchez,INV-2025-73624,2025-07-17,2025-08-16,GBP,24562.46
AR00000017,C85525,Stuart-Miller,REF-2023-8,2026-03-30,2026-06-28,USD,72362.92
AR00000019,C22363,Marshall-Thomas,INV-2024-56438,2025-09-16,2025-10-31,EUR,10596.15
AR00000020,C98259,"Jennings, Kidd and Dixon",REF-2024-9,2025-07-08,2025-08-07,USD,86397.29
AR00000022,C28373,Washington-Anderson,REF-2023-10,2025-09-16,2025-12-15,USD,24940.77
AR00000028,C11934,Brewer-Williams,REF-2023-11,2026-03-14,2026-04-13,USD,65249.27
AR00000030,C17685,Garner-Wells,REF-2024-12,2026-01-02,2026-02-16,EUR,48187.71
AR00000033,C48890,Harris-Marshall,REF-2025-13,2025-09-16,2025-10-31,USD,48718.47
AR00000035,C16572,Smith LLC,REF-2023-14,2025-07-10,2025-10-08,GBP,74822.76
AR00000037,C34356,"Mooney, Lewis and Little",REF-2023-15,2025-07-22,2025-08-21,GBP,96081.81
AR00000039,C42271,"Clements, Cabrera and Campbell",REF-2024-16,2026-03-29,2026-04-28,GBP,12076.67
AR00000041,C44179,Kim-Evans,REF-2025-17,2026-03-05,2026-04-19,USD,58408.86
AR00000046,C19508,Freeman-Miranda,INV-2025-83792,2025-11-19,2025-12-19,USD,1922.23
AR00000047,C55745,"Cruz, Alexander and Hansen",REF-2025-18,2025-10-24,2025-11-23,USD,21394.12
AR00000049,C49651,Cohen and Sons,REF-2024-19,2026-06-06,2026-07-06,GBP,83391.12
AR00000051,C82512,"Hunt, Warren and Mccann",REF-2023-20,2025-08-04,2025-09-18,USD,26520.15
AR00000053,C44600,Lane LLC,REF-2023-21,2025-09-23,2025-12-22,USD,71789.46
AR00000055,C31178,"Frank, Barker and Neal",REF-2023-22,2025-08-16,2025-11-14,GBP,454.21
AR00000060,C58393,"Cooke, Gutierrez and Dixon",INV-2023-66333,2025-06-29,2025-07-29,USD,58668.45
AR00000061,C37535,Mcdonald LLC,REF-2024-23,2025-07-01,2025-08-15,USD,36528.69
AR00000063,C31299,"Peterson, Martinez and Hamilton",REF-2025-24,2025-10-10,2025-11-24,EUR,15539.88
AR00000065,C97806,Murphy and Sons,REF-2025-25,2026-01-07,2026-02-21,USD,92456.28
AR00000067,C39154,Ferguson Inc,REF-2024-26,2026-02-06,2026-03-23,EUR,87229.46
AR00000069,C35313,Smith-Fuentes,REF-2023-27,2026-05-14,2026-08-12,USD,22370.06
AR00000071,C99065,Rivers-Munoz,REF-2024-28,2026-02-26,2026-04-27,USD,35179.5
AR00000077,C51114,Day Group,REF-2023-29,2025-12-04,2026-03-04,GBP,59697.47
AR00000079,C43386,Robinson LLC,REF-2024-30,2025-09-16,2025-10-16,EUR,89960.52
AR00000081,C66531,Rodriguez-Mooney,REF-2025-31,2026-05-20,2026-06-19,USD,68717.03
AR00000083,C50538,Vasquez-Hansen,REF-2025-32,2026-02-25,2026-05-26,USD,90014.68
AR00000085,C26683,Hogan-Graham,INV-2025-59695,2026-03-21,2026-05-20,GBP,19992.17
AR00000086,C63225,Johnson PLC,REF-2023-33,2025-11-12,2025-12-12,USD,61589.94
AR00000088,C95813,Boone-George,REF-2024-34,2026-04-17,2026-06-16,EUR,78597.31
AR00000090,C32241,"Harding, Richards and Cruz",REF-2025-35,2026-02-08,2026-03-10,USD,21448.77
AR00000092,C98184,Mcclain Inc,REF-2024-36,2025-10-09,2025-12-08,USD,9429.38
AR00000094,C90120,"Williams, Wolf and Rodriguez",REF-2023-37,2026-02-09,2026-03-11,EUR,4716.75
AR00000096,C74799,"Vang, Lucas and White",REF-2023-38,2025-12-24,2026-03-24,USD,71862.76
AR00000098,C33053,Reyes Ltd,REF-2023-39,2025-10-01,2025-12-30,USD,77864.2
AR00000100,C83259,Cross Ltd,REF-2023-40,2026-02-03,2026-04-04,EUR,45700.54
AR00000102,C72216,Smith-Hammond,REF-2025-41,2025-08-31,2025-11-29,USD,44646.77
AR00000104,C45992,Miller and Sons,REF-2025-42,2025-10-11,2026-01-09,USD,48511.24
AR00000106,C20561,Martinez and Sons,REF-2024-43,2026-03-14,2026-04-28,USD,33651.17
AR00000108,C18418,Donovan Group,REF-2025-44,2025-09-28,2025-12-27,EUR,15365.25
AR00000110,C65069,Edwards-Walter,REF-2024-45,2025-09-24,2025-12-23,GBP,41635.85
AR00000112,C49139,Glenn-Stewart,REF-2024-46,2025-12-08,2026-03-08,EUR,47750.28
AR00000114,C38906,"Clark, Leblanc and Holmes",INV-2024-67125,2026-04-15,2026-05-30,USD,49334.72
AR00000115,C31632,Padilla-Lamb,REF-2024-47,2026-05-24,2026-08-22,USD,33679.34
AR00000118,C59689,"Duffy, Martinez and Rodriguez",REF-2024-48,2025-10-22,2025-12-21,USD,18254.73
AR00000120,C46471,Craig-Mora,REF-2024-49,2025-12-22,2026-03-22,USD,76146.85
AR00000122,C80702,Miller-Hughes,INV-2024-39389,2025-06-20,2025-08-19,USD,6156.48
AR00000123,C42411,Nielsen-Osborne,REF-2025-50,2025-06-26,2025-08-10,USD,4121.79
