StatementLineID,AccountNumber,CustomerName,StatementDate,DocumentNumber,DocumentDate,Currency,StatementAmount
CSL00000002,C89818,"Salas, Fuentes and Lowe",2026-02-25,REF-2025-1,2026-02-25,USD,74889.15
CSL00000004,C12552,"Davis, Cook and Bradford",2026-03-09,REF-2023-2,2026-03-09,USD,53983.97
CSL00000006,C84364,Armstrong-Livingston,2025-11-15,REF-2024-3,2025-11-15,USD,87884.32
CSL00000008,C96474,Nguyen Inc,2025-07-16,REF-2023-4,2025-07-16,EUR,73217.57
CSL00000011,C67422,"Sims, Anderson and Harrington",2026-06-11,REF-2025-5,2026-06-11,GBP,69017.78
CSL00000013,C87110,Galvan and Sons,2025-10-04,REF-2024-6,2025-10-04,GBP,12188.32
CSL00000015,C18834,Olson-Caldwell,2025-06-14,REF20237,2025-06-14,USD,58885.17
CSL00000018,C71993,Martin Inc,2026-03-30,REF-2023-8,2026-03-30,EUR,72362.92
CSL00000021,C62772,Baldwin and Sons,2025-07-08,REF-2024-9,2025-07-08,USD,86397.29
CSL00000023,C82132,"Dunn, Wolf and Hicks",2025-09-16,REF-2023-10,2025-09-16,USD,6230.37
CSL00000024,C82132,"Dunn, Wolf and Hicks",2025-09-16,REF-2023-10,2025-09-16,USD,716.77
CSL00000025,C82132,"Dunn, Wolf and Hicks",2025-09-16,REF-2023-10,2025-09-16,USD,4104.89
CSL00000026,C82132,"Dunn, Wolf and Hicks",2025-09-16,REF-2023-10,2025-09-16,USD,11974.93
CSL00000027,C82132,"Dunn, Wolf and Hicks",2025-09-16,REF-2023-10,2025-09-16,USD,1913.81
CSL00000029,C31798,Silva Ltd,2026-03-14,REF-2023-11,2026-03-14,EUR,65249.27
CSL00000031,C10282,Taylor Group,2026-01-02,REF-2024-12,2026-01-02,EUR,48187.71
CSL00000032,C69638,Diaz-Carpenter,2025-11-16,INV-2025-82845,2025-10-24,GBP,21751.07
CSL00000034,C85914,Vance Group,2025-09-16,REF-2025-13,2025-09-16,GBP,48718.47
CSL00000036,C79615,Wright-Acevedo,2025-07-10,REF-2023-14,2025-07-10,USD,74822.76
CSL00000038,C18907,"Reyes, Fields and Adams",2025-07-22,REF-2023-15,2025-07-22,USD,96081.81
CSL00000040,C20745,Brown-Williams,2026-03-29,REF-2024-16,2026-03-29,EUR,12076.67
CSL00000042,C49321,"Davis, Clark and Davis",2026-03-05,REF-2025-17,2026-03-05,EUR,13941.37
CSL00000043,C49321,"Davis, Clark and Davis",2026-03-05,REF-2025-17,2026-03-05,EUR,9176.03
CSL00000044,C49321,"Davis, Clark and Davis",2026-03-05,REF-2025-17,2026-03-05,EUR,16115.26
CSL00000045,C49321,"Davis, Clark and Davis",2026-03-05,REF-2025-17,2026-03-05,EUR,19176.2
CSL00000048,C58434,Hammond LLC,2025-10-24,REF-2025,2025-10-24,USD,21394.12
CSL00000050,C49240,Baker-Foster,2026-06-06,REF-2024-19,2026-06-06,USD,83391.12
CSL00000052,C46930,"Shaffer, Green and Flores",2025-08-04,REF-2023-20,2025-08-04,GBP,26520.15
CSL00000054,C16658,Huynh-Reynolds,2025-09-23,REF-2023-21,2025-09-23,USD,74220.0
CSL00000056,C29536,Weaver LLC,2025-08-16,REF-2023-22,2025-08-16,GBP,50.81
CSL00000057,C29536,Weaver LLC,2025-08-16,REF-2023-22,2025-08-16,GBP,203.96
CSL00000058,C29536,Weaver LLC,2025-08-16,REF-2023-22,2025-08-16,GBP,65.75
