AssetID,AssetTag,AssetName,DepreciationPeriod,AcquisitionDate,Cost,AccumulatedDepreciation,NetBookValue
REF-2023-1,TAG-30033,Table - Robertland,2025-07,2021-03-24,379112.17,266429.43,51001.68
REF-2025-2,TAG-44973,Truck - South Jacqueline,2025-06,2022-10-24,342446.63,162963.24,86091.89
REF-2025-3,TAG-79514,Printer - Lake Joseph,2025-09,2022-11-27,382442.85,182641.44,50815.52
REF-2023-4,TAG-73699,Printer - Kyleport,2026-03,2024-07-14,473739.98,75778.22,5886.72
REF-2025-5,TAG-36365,Car - Greenville,2025-09,2020-12-22,464812.18,292220.74,42371.48
REF-2023-6,TAG-10942,Laptop - Brianmouth,2026-04,2023-12-27,279191.15,142920.21,33874.75
REF-2023-7,TAG-71993,Press - New Amanda,2026-03,2024-09-18,290224.77,78389.15,53969.47
REF-2023-8,TAG-24322,Chair - Lake Richardside,2026-05,2024-04-13,204297.53,68952.83,67369.12
REF-2024-9,TAG-11934,Desktop - New Nicole,2026-03,2024-04-13,327811.72,156828.92,80821.42
REF-2025-10,TAG-17665,Office Building - West Sandraborough,2026-02,2023-05-15,81624.43,25115.47,66220.94
REF-2023-11,TAG-18907,Table - Saramouth,2025-07,2023-11-20,426414.56,63094.4,96081.81
REF-2025-12,TAG-51180,Cabinet - Gravesborough,2025-11,2022-09-01,467679.6,113637.46,56566.17
REF-2023-13,TAG-19602,Warehouse - West Anthonyside,2026-04,2022-06-24,499234.95,398023.81,1030.61
REF-2024-14,TAG-95717,Office Building - Victoriaburgh,2026-06,2021-09-08,154745.99,122047.75,83391.12
REF-2023-15,TAG-37607,Van - New Travis,2026-03,2021-05-14,81946.72,24356.97,88982.3
REF-2023-16,TAG-53719,Cabinet - Jillmouth,2026-01,2024-02-18,415527.3,54376.21,9320.62
FA-TXN-2024-320281,TAG-99399,Desk - Michaelshire,2025-07,2022-07-09,157587.88,114926.8,42661.08
REF-2025-17,TAG-41029,Chair - West Suzanne,2026-01,2022-09-14,487049.33,304227.73,88425.06
REF-2025-18,TAG-24168,CNC Machine - Mayerland,2025-10,2022-02-26,137068.83,89254.03,86420.0
REF-2023-19,TAG-19099,Forklift - North Stacy,2026-05,2021-10-09,100599.25,33175.96,22370.06
REF-2023-20,TAG-44795,Laptop - Roberthaven,2025-10,2021-06-19,93391.07,72263.58,87716.14
REF-2023-21,TAG-67154,Printer - North Sergio,2026-04,2022-03-27,99088.99,12987.65,38581.02
REF-2023-22,TAG-26334,Trailer - Jordanton,2025-11,2023-03-05,313461.93,176908.9,94892.56
REF-2024-23,TAG-90676,Factory - Walkerland,2025-12,2022-09-13,340272.38,249067.09,66526.45
