Period,GLAccount,FAAssetID,OpeningCost,Additions,Disposals,DepreciationExpense,EndingNBV
2025-07,150000,REF-2023-1,195459.82,0,0,1331.93,51001.68
2025-06,153000,REF-2025-2,6606.43,0,0,4862.25,37429.76
2025-06,153000,REF-2025-2,382171.29,0,0,3163.97,48662.13
2025-09,153000,REF20253,14640.99,0,0,4175.16,50815.52
2026-03,151000,REF-2023-4,331576.66,0,0,2685.6,5886.72
2025-09,155000,REF-2025-5,189843.15,0,0,1314.74,42371.48
2026-04,150000,REF-2023-6,453182.91,0,5392.98,3377.99,33874.75
2026-03,150000,REF-2023-7,331196.46,0,0,4332.8,53969.47
2026-05,154000,2023-8,227063.71,0,0,1324.05,67369.12
2026-03,153000,20249,245392.36,0,0,387.31,80821.42
2025-06,152000,FA-INV-2024-543555,492727.88,0,0,3513.3,350503.81
2026-02,150000,REF-2025-10,29820.46,0,0,2702.52,66220.94
2025-07,154000,REF-2023-11,126876.6,0,0,2154.2,96081.81
2025-11,151000,REF-2025-12,337486.66,0,0,3784.14,56566.17
2026-04,152000,REF-2023-13,70566.0,0,861.91,1496.44,1030.61
2026-06,154000,REF-2024-14,153192.48,0,0,758.03,83391.12
2026-03,155000,REF-2023-15,427191.84,0,0,4549.98,88982.3
2026-01,155000,REF-2023-16,223708.58,0,0,648.18,9320.62
2026-05,154000,FA-TXN-2024-710805,452444.64,0,0,2807.37,226607.21
2026-01,150000,REF-2025-17,93783.53,0,0,2117.39,88425.06
2025-10,151000,REF-2025-18,103788.55,0,0,4120.63,86420.0
2026-05,154000,REF-2023-19,202840.8,0,0,4702.26,22370.06
2025-10,153000,REF-2023-20,176115.12,0,0,4922.76,87716.14
2026-04,155000,REF-2023-21,361117.85,0,0,1884.69,38581.02
2025-11,155000,REF-2023-22,207154.49,0,0,723.71,94892.56
2025-12,154000,REF-2024-23,417693.96,0,0,3950.22,66526.45
2026-02,150000,REF-2025-24,145474.27,0,0,557.6,65505.09
2025-10,150000,REF-2023-25,230431.0,0,0,3619.89,67312.29
2025-07,155000,REF-2025-26,267910.28,0,0,3800.73,51843.98
2026-02,152000,REF-2024-27,377129.51,0,0,3910.61,61303.97
2025-10,151000,REF-2024-28,79661.18,0,0,1148.37,63883.23
2025-07,153000,REF-2025-29,7918.56,0,0,4281.89,46645.84
2026-03,153000,REF-2024-30,19367.29,0,0,2081.15,53868.23
2025-08,153000,REF-2023-31,94955.87,0,0,2328.03,36031.98
2025-08,153000,REF-2023-31,172062.77,0,0,4760.9,48034.54
2025-07,150000,REF-2024-32,391710.36,0,0,4753.1,25301.93
2026-04,153000,REF-2023-33,351235.16,0,0,3075.51,83938.96
2025-09,153000,REF-2025-34,201343.95,0,6952.55,3173.49,71863.89
2025-11,154000,REF-2023-35,217047.12,0,0,1772.03,69749.58
2025-08,155000,REF-2024-36,263264.64,0,0,4606.13,82250.86
2026-04,153000,REF-2024-37,287075.57,0,0,2522.1,46540.89
2025-09,150000,REF-2024-38,260730.49,6292.89,0,2820.36,18265.8
2025-11,155000,REF-2024-39,277442.29,0,0,1602.45,69209.54
2025-09,152000,2023-40,363669.58,0,0,1486.69,12153.52
2025-12,152000,REF202341,350221.61,30415.39,0,4376.33,29695.02
2025-12,153000,REF-2024-42,41670.67,0,310.86,2857.91,47923.55
2025-10,153000,REF-2024-43,228004.66,0,0,4951.15,8609.57
2025-07,150000,REF-2024-44,82743.26,621.11,1863.81,3009.67,56906.08
2025-11,155000,REF-2024-45,296945.85,0,0,662.4,3360.72
2025-10,152000,REF-2023-46,222380.96,0,0,2072.29,64798.71
2026-02,150000,REF-2024-47,50206.81,0,0,2918.48,50097.17
2026-05,153000,REF-2023-48,458456.03,26834.79,0,2509.46,99957.28
2026-01,155000,REF202349,472870.8,0,0,2328.65,47054.04
2026-01,150000,REF-2024-50,97853.36,0,0,3164.5,32395.05
2026-03,154000,202351,400660.3,0,0,167.0,20435.47
2026-01,153000,REF-2025-52,99352.13,0,0,768.89,70570.62
2026-01,154000,REF-2023-53,292062.08,0,0,2288.08,27697.12
2026-03,153000,REF-2024-54,120613.41,0,4491.07,3555.62,34577.88
2025-12,155000,FA-PAY-2023-619389,196108.98,0,0,4827.64,56552.42
2025-08,153000,REF-2025-55,436111.82,0,17041.62,1398.61,33266.27
2026-05,155000,REF-2025-56,360765.13,0,0,275.91,69301.19
2026-05,151000,REF-2023-57,348530.58,0,13874.02,1537.5,24012.96
