AccountCode,Period,BeginningBalance,Debits,Credits,EndingBalance,Currency,CostCenter
REF-2023-1,2025-07,130645.52,6945.28,3735.22,133855.58,USD,CC683
REF-2024-2,2025-12,164926.83,23944.73,14384.7,174486.86,USD,CC568
REF-2025-3,2025-07,467297.1,99610.04,64980.18,501926.96,USD,CC235
REF-2025-4,2026-05,410381.03,98386.95,41298.07,467469.91,USD,CC783
REF-2023-5,2025-08,113208.53,74267.43,32466.16,155009.8,USD,CC719
REF-2023-6,2026-01,173442.7,9320.62,3283.91,179479.41,USD,CC103
REF-2025-7,2026-03,27653.79,70596.18,31604.95,66645.02,USD,CC658
REF-2024-8,2025-07,60368.87,36528.69,22357.26,74540.3,USD,CC782
REF-2023-9,2025-11,88006.94,18018.13,10459.73,95565.34,USD,CC373
REF-2024-10,2025-10,104633.6,35030.88,15108.99,124555.49,USD,CC775
REF-2025-11,2026-03,485496.3,40027.87,14867.44,510656.73,USD,CC998
REF-2025-12,2026-04,357304.79,11653.01,3503.79,365454.01,USD,CC145
REF-2023-13,2025-11,161549.48,94892.56,43969.15,212472.89,USD,CC619
122000,2025-12,157465.44,155801.15,80888.04,232378.55,USD,CC411
REF-2024-14,2025-09,262571.48,44271.76,24490.09,282353.15,USD,CC390
200000,2025-10,32644.72,41101.72,28507.1,45239.34,USD,CC566
REF-2024-15,2026-04,205829.9,88625.08,31818.93,262636.05,EUR,CC606
REF-2023-16,2026-06,283128.84,17671.08,11786.4,289013.52,EUR,CC151
REF-2024-17,2026-03,446798.7,66791.02,36405.18,477184.54,USD,CC873
122000,2026-01,242590.47,187195.58,75566.48,354219.57,USD,CC960
REF-2025-18,2026-03,225537.57,27803.4,16276.61,237064.36,USD,CC381
REF-2025-19,2025-08,84874.58,8149.71,3142.37,89881.92,EUR,CC810
REF-2024-20,2025-09,441521.77,41635.85,22078.5,461079.12,USD,CC977
REF-2024-21,2026-03,223559.63,53868.23,16785.88,260641.98,USD,CC379
REF-2025-22,2025-12,324947.33,2793.95,989.84,326751.44,USD,CC185
REF-2024-23,2026-01,378484.81,32802.53,20756.45,390530.89,EUR,CC384
REF-2025-24,2025-06,19986.21,4121.79,1487.77,22620.23,USD,CC959
REF-2025-25,2026-02,306887.42,94780.93,64971.75,336696.6,USD,CC271
REF-2025-26,2025-11,471320.59,2665.27,1011.02,472974.84,EUR,CC506
REF-2024-27,2026-04,271045.17,85044.29,48016.73,308072.73,USD,CC455
REF-2023-28,2025-12,96307.11,43408.99,22082.1,117634.0,USD,CC545
121000,2025-10,230892.98,73337.42,44016.42,260213.98,EUR,CC444
REF-2023-29,2025-11,400937.85,49481.22,21580.52,428838.55,USD,CC463
REF-2025-30,2026-03,358802.78,40702.17,19507.32,379997.63,EUR,CC761
REF-2024-31,2025-11,281201.75,69209.54,30279.38,320131.91,USD,CC584
REF-2024-32,2025-10,104366.3,27164.55,9448.43,122082.42,USD,CC838
REF-2025-33,2026-04,417987.9,48471.44,20285.23,446174.11,USD,CC202
REF-2025-34,2025-10,153146.96,53460.1,36226.48,170380.58,USD,CC666
REF-2025-35,2026-02,133714.41,28505.5,18377.19,143842.72,USD,CC152
REF-2023-36,2026-01,266060.54,55851.5,26820.21,295091.83,USD,CC894
REF-2025-37,2025-07,49781.86,6117.01,2422.01,53476.86,USD,CC776
200000,2025-06,148532.0,75585.7,48665.3,175452.4,USD,CC803
REF-2023-38,2026-04,276835.57,92398.71,51655.86,317578.42,EUR,CC217
REF-2025-39,2026-03,239662.01,74920.88,31589.38,282993.51,EUR,CC227
REF-2024-40,2026-04,132680.27,43832.11,14750.85,161761.53,USD,CC718
REF-2025-41,2025-09,98929.68,4119.14,2200.16,100848.66,EUR,CC384
202000,2026-01,61253.94,83659.27,30479.58,114433.63,EUR,CC810
REF-2024-42,2026-01,133675.44,28892.96,10007.62,152560.78,USD,CC422
REF-2024-43,2026-03,226600.07,5514.99,1768.35,230346.71,EUR,CC740
REF-2025-44,2025-06,87605.3,48522.71,25248.09,110879.92,USD,CC826
150000,2025-11,213590.27,177825.85,87668.11,303748.01,EUR,CC349
REF-2024-45,2025-12,44206.94,55171.38,33603.24,65775.08,USD,CC984
REF-2024-46,2025-11,82811.76,82072.89,42303.01,122581.64,EUR,CC986
130000,2026-03,167670.9,116559.43,43763.51,240466.82,USD,CC685
REF-2024-47,2026-01,241758.36,23432.89,15591.59,249599.66,USD,CC862
REF-2025-48,2026-02,59178.66,98083.73,62578.97,94683.42,USD,CC990
REF-2025-49,2025-07,349425.25,96998.68,54312.92,392111.01,USD,CC738
REF-2025-50,2025-07,156738.38,9128.9,2844.37,163022.91,USD,CC810
REF-2023-51,2026-01,95783.98,24495.32,13320.47,106958.83,USD,CC274
REF-2023-52,2026-05,336751.95,23295.63,15364.95,344682.63,EUR,CC361
REF-2023-53,2025-12,481394.25,7478.8,4308.73,484564.32,USD,CC754
REF-2024-54,2025-12,154663.07,10754.66,7433.38,157984.35,USD,CC816
REF-2025-55,2025-11,321942.76,49723.06,27265.96,344399.86,USD,CC324
REF-2023-56,2026-01,74391.79,30962.4,20554.42,84799.77,USD,CC849
REF-2023-57,2025-12,90626.77,78672.63,52366.04,116933.36,USD,CC950
REF-2023-58,2025-07,341398.63,46886.31,26714.06,361570.88,USD,CC980
REF-2024-59,2026-03,377015.69,1490.47,603.44,377902.72,USD,CC788
REF-2023-60,2026-03,40976.35,61992.73,39027.04,63942.04,USD,CC763
REF-2023-61,2025-11,125052.02,94631.53,48737.0,170946.55,USD,CC199
150000,2026-06,373711.82,107686.05,38961.8,442436.07,EUR,CC770
REF-2023-62,2026-04,191559.68,83385.94,39804.55,235141.07,USD,CC806
REF-2024-63,2025-09,395529.35,9258.18,3679.46,401108.07,USD,CC151
200000,2026-03,408395.96,148663.86,58454.55,498605.27,USD,CC907
REF-2024-64,2025-08,185538.72,79871.53,49150.75,216259.5,USD,CC115
REF-2025-65,2025-08,391228.35,42153.96,21300.19,412082.12,EUR,CC559
REF-2025-66,2026-05,499307.51,4432.17,2831.8,500907.88,USD,CC162
REF-2023-67,2025-08,315915.57,32278.97,17241.68,330952.86,USD,CC381
