SubledgerTransactionID,MappedAccountCode,Period,TransactionDate,DocumentNumber,Currency,DetailAmount,CostCenter
SL00000001,REF-2023-1,2025-07,2025-07-15,DOC-314181,USD,2911.63,CC367
SL00000002,REF-2023-1,2025-07,2025-07-15,DOC-802258,USD,1390.14,CC367
SL00000003,REF-2023-1,2025-07,2025-07-15,DOC-850981,USD,2643.51,CC367
SL00000004,REF-2024-2,2025-12,2025-12-30,DOC-751332,USD,23944.73,CC569
SL00000005,REF-2025-3,2025-07,2025-07-18,DOC-669605,EUR,36808.61,CC953
SL00000006,REF-2025-3,2025-07,2025-07-18,DOC-837715,EUR,50775.54,CC953
SL00000007,REF-2025-3,2025-07,2025-07-18,DOC-417212,EUR,12025.89,CC953
SL00000008,REF-2025-4,2026-05,2026-05-11,DOC-221035,USD,98386.95,CC370
SL00000009,REF-2023-5,2025-08,2025-08-29,DOC-987204,EUR,74267.43,CC357
SL00000010,REF-2023-6,2026-01,2026-01-13,DOC-563298,USD,9320.62,CC859
SL00000011,2025-7,2026-03,2026-03-25,DOC-233636,USD,70596.18,CC540
SL00000012,REF-2024-8,2025-07,2025-07-01,DOC-270395,USD,35549.79,CC342
SL00000013,REF-2023-9,2025-11,2025-11-28,DOC-593554,USD,17866.99,CC979
SL00000014,REF-2024-10,2025-10,2025-10-05,DOC-772642,USD,35030.88,CC459
SL00000015,REF-2025-11,2026-03,2026-03-12,DOC-924629,USD,4339.12,CC846
SL00000016,REF-2025-11,2026-03,2026-03-12,DOC-428914,USD,6286.93,CC846
SL00000017,REF-2025-11,2026-03,2026-03-12,DOC-557592,USD,27902.15,CC846
SL00000018,REF-2025-11,2026-03,2026-03-12,DOC-735656,USD,1499.67,CC846
SL00000019,REF-2025-12,2026-04,2026-04-02,DOC-552248,USD,11653.01,CC472
SL00000020,REF-2023-13,2025-11,2025-11-27,DOC-233470,USD,93530.66,CC667
SL00000021,200000,2025-11,2025-11-04,DOC-708158,EUR,21551.42,CC576
SL00000022,REF-2024-14,2025-09,2025-09-28,DOC-887625,USD,43334.73,CC938
SL00000023,REF-2024-15,2026-04,2026-04-01,DOC-545798,USD,88625.08,CC897
SL00000024,REF-2023-16,2026-06,2026-06-02,DOC-940346,EUR,17671.08,CC236
SL00000025,REF-2024-17,2026-03,2026-03-24,DOC-674485,EUR,66791.02,CC950
SL00000026,REF-2025-18,2026-03,2026-03-04,DOC-435239,USD,27803.4,CC443
SL00000027,REF-2025-19,2025-08,2025-08-27,DOC-668969,EUR,8149.71,CC438
SL00000028,REF-2024-20,2025-09,2025-09-24,DOC-413118,USD,42720.18,CC460
SL00000029,REF-2024-21,2026-03,2026-03-17,DOC-590094,USD,18106.7,CC960
SL00000030,REF-2024-21,2026-03,2026-03-17,DOC-233827,USD,18477.47,CC960
SL00000031,REF-2024-21,2026-03,2026-03-17,DOC-752483,USD,17284.06,CC960
SL00000032,REF-2025-22,2025-12,2025-12-29,DOC-372793,USD,2793.95,CC151
SL00000033,REF-2024-23,2026-01,2026-01-29,DOC-335113,USD,635.82,CC458
SL00000034,REF-2024-23,2026-01,2026-01-29,DOC-781725,USD,2050.91,CC458
SL00000035,REF-2024-23,2026-01,2026-01-29,DOC-171951,USD,5588.41,CC458
SL00000036,REF-2024-23,2026-01,2026-01-29,DOC-919182,USD,24527.39,CC458
SL00000037,REF-2025-24,2025-06,2025-06-26,DOC-219946,EUR,4121.79,CC785
