ICTransactionID,PartnerEntityCode,PostingDate,DocumentNumber,Currency,ICAmount,AccountCode,Description,AllocationCode
ICA00000001,1000,2025-07-13,REF-2023-1,JPY,24865.77,131100,IC Cost Allocation,ALLOC-200
ICA00000004,7000,2025-10-13,REF-2025-2,GBP,57663.54,211000,IC Cost Allocation,ALLOC-500
ICA00000006,1000,2025-07-08,REF-2024-3,GBP,46755.76,211000,IC Loan Interest,ALLOC-500
ICA00000008,8000,2026-01-13,IC-TXN-2024-947272,USD,236687.75,211000,IC Management Fee,ALLOC-100
ICA00000009,1000,2026-02-14,REF-2023-4,USD,16714.48,211000,IC Inventory Transfer,ALLOC-500
ICA00000011,6000,2025-07-10,REF-2024-5,EUR,21848.32,211000,IC Management Fee,ALLOC-100
ICA00000014,6000,2025-07-01,REF-2023-6,JPY,57934.01,211200,IC Loan Interest,ALLOC-100
ICA00000016,1000,2025-11-19,REF-2025-7,GBP,30069.71,211000,IC Royalty,ALLOC-400
ICA00000018,2000,2025-12-17,REF-2023-8,GBP,87939.1,131100,IC Dividend,ALLOC-300
ICA00000020,1000,2025-08-18,REF-2023-9,USD,93899.11,211200,IC Service Charge,ALLOC-400
ICA00000022,3000,2025-10-24,REF-2025-10,USD,63460.37,131200,IC Royalty,ALLOC-400
ICA00000024,2000,2026-05-03,REF-2024-11,GBP,77134.81,131100,IC Inventory Transfer,ALLOC-400
ICA00000026,4000,2026-04-05,REF-2023-12,USD,83476.04,211200,IC Management Fee,ALLOC-400
ICA00000028,7000,2025-08-02,REF-2025-13,JPY,25028.02,131100,IC Inventory Transfer,ALLOC-100
ICA00000030,8000,2025-11-28,REF-2023-14,USD,18018.13,211100,IC Dividend,ALLOC-600
ICA00000032,3000,2026-02-01,REF-2023-15,USD,81677.0,211000,IC Cost Allocation,ALLOC-100
ICA00000035,8000,2025-10-24,REF-2025-16,JPY,96257.18,211200,IC Inventory Transfer,ALLOC-400
ICA00000037,1000,2025-07-03,REF-2025-17,JPY,19088.87,211200,IC Cost Allocation,ALLOC-500
ICA00000039,3000,2025-11-11,REF-2023-18,GBP,72003.45,131100,IC Dividend,ALLOC-400
ICA00000044,4000,2026-04-03,REF-2024-19,GBP,21097.25,131200,IC Recharge,ALLOC-600
ICA00000046,7000,2025-11-29,REF-2025-20,USD,63330.79,211100,IC Dividend,ALLOC-500
ICA00000048,4000,2025-07-18,REF-2024-21,JPY,61166.27,131200,IC Cost Allocation,ALLOC-500
ICA00000050,7000,2026-05-12,IC-TXN-2024-329471,EUR,431615.88,131200,IC Recharge,ALLOC-100
ICA00000051,2000,2025-08-12,REF-2025-22,GBP,24994.91,131000,IC Loan Interest,ALLOC-100
