ICTransactionRef,CounterpartyEntityCode,PostingDate,VoucherNumber,Currency,CorrespondingAmount,AccountNumber,Memo,AllocationRef
ICB00000002,4000,2025-07-13,REF-2023-1,USD,24865.77,211100,IC Management Fee,ALLOC-200
ICB00000003,1000,2025-07-15,IC-PO-2023-392004,JPY,171909.96,211100,IC Service Charge,ALLOC-600
ICB00000005,2000,2025-10-13,REF-2025-2,GBP,57663.54,131000,IC Loan Interest,ALLOC-500
ICB00000007,4000,2025-07-08,REF-2024-3,USD,46755.76,211100,IC Recharge,ALLOC-500
ICB00000010,7000,2026-02-14,REF-2023-4,GBP,16914.48,131000,IC Dividend,ALLOC-500
ICB00000012,8000,2025-07-10,REF-2024-5,JPY,21848.32,211000,IC Service Charge,ALLOC-100
ICB00000013,2000,2026-02-26,IC-PO-2023-808011,EUR,101054.23,131000,IC Royalty,ALLOC-500
ICB00000015,4000,2025-07-01,REF-2023-6,EUR,58564.88,211200,IC Cost Allocation,ALLOC-100
ICB00000017,4000,2025-11-19,REF-2025-7,EUR,30069.71,211200,IC Service Charge,ALLOC-400
ICB00000019,1000,2025-12-17,REF-2023-8,JPY,87939.1,131200,IC Dividend,ALLOC-300
ICB00000021,5000,2025-08-18,REF-2023-9,USD,93899.11,211100,IC Loan Interest,ALLOC-400
ICB00000023,7000,2025-10-24,REF-2025-10,EUR,63460.37,211000,IC Management Fee,ALLOC-400
ICB00000025,1000,2026-05-03,REF-2024-11,USD,77134.81,131100,IC Service Charge,ALLOC-400
ICB00000027,6000,2026-04-05,REF-2023-12,USD,83476.04,211100,IC Loan Interest,ALLOC-400
ICB00000029,3000,2025-08-02,REF-2025-13,USD,25028.02,131000,IC Service Charge,ALLOC-100
ICB00000031,2000,2025-11-28,REF-2023-14,USD,18018.13,211100,IC Recharge,ALLOC-600
ICB00000033,4000,2026-02-01,REF-2023-15,EUR,81677.0,211000,IC Dividend,ALLOC-100
ICB00000034,6000,2025-10-31,IC-PAY-2025-447235,USD,259608.78,211000,IC Dividend,ALLOC-200
ICB00000036,6000,2025-10-24,REF-2025-16,JPY,96257.18,131000,IC Royalty,ALLOC-400
ICB00000038,7000,2025-07-03,REF-2025-17,EUR,19088.87,131200,IC Loan Interest,ALLOC-500
ICB00000040,3000,2025-11-11,REF-2023-18,JPY,9165.16,131000,IC Dividend,ALLOC-400
ICB00000041,3000,2025-11-11,REF-2023-18,JPY,21108.43,131100,IC Dividend,ALLOC-400
ICB00000042,3000,2025-11-11,REF-2023-18,JPY,37435.84,211000,IC Dividend,ALLOC-400
ICB00000043,3000,2025-11-11,REF-2023-18,JPY,4294.02,211200,IC Dividend,ALLOC-400
ICB00000045,4000,2026-04-03,REF-2024-19,GBP,20722.34,131200,IC Service Charge,ALLOC-600
ICB00000047,4000,2025-11-29,REF-2025-20,USD,63330.79,211100,IC Management Fee,ALLOC-500
ICB00000049,7000,2025-07-18,REF-2024-21,GBP,61166.27,211100,IC Cost Allocation,ALLOC-500
