ItemNumber,SKU,Location,Bin,QuantityOnHand,UnitCost,ExtendedValue,UOM
PRD-471507,SKU-471507,PLANT01,A44-1,3479,206.14,717161.06,EA
REF-2024-1,SKU-2024-1,WH02,B13-5,3685,72848.54,268446869.9,CS
REF-2023-2,SKU-2023-2,WH01,A42-5,130,44368.76,5767938.8,EA
REF-2024-3,SKU-2024-3,DC01,C30-3,3475,90254.04,313632789.0,LB
REF-2023-4,SKU-2023-4,PLANT01,E04-3,478,96874.07,46305805.46,EA
REF-2025-5,SKU-2025-5,WH01,E05-2,3317,8103.14,26878115.38,EA
ITM-539589,SKU-539589,WH03,C14-3,4791,283.05,1356092.55,CS
REF-2024-6,SKU-2024-6,WH01,A35-2,4154,62153.81,258186926.74,PK
REF-2025-7,SKU-2025-7,DC02,B46-3,1677,15629.25,26210252.25,LB
REF-2023-8,SKU-2023-8,WH03,A01-3,1081,9320.62,10075590.22,LB
REF-2024-9,SKU-2024-9,WH01,B35-1,3034,56134.6,170312376.4,KG
MAT-934794,SKU-934794,WH02,B43-1,336,449.56,151052.16,PK
REF-2025-10,SKU-025-10,PLANT01,B16-2,1460,88425.06,129100587.6,BX
REF-2025-11,SKU-025-11,DC01,B13-4,2874,10898.75,31323007.5,PK
REF-2024-12,SKU-024-12,PLANT01,E26-5,2722,86448.86,235313796.92,EA
ITM-725550,SKU-725550,WH03,D39-5,3569,173.5,619221.5,EA
REF-2024-13,SKU-024-13,PLANT01,D01-5,4420,89960.52,397625498.4,LB
REF-2025-14,SKU-025-14,WH03,E20-4,2682,31460.17,84376175.94,BX
REF-2023-15,SKU-023-15,WH01,C19-2,3531,61589.94,217474078.14,PC
REF-2025-16,SKU-025-16,PLANT01,A19-5,2755,47371.3,130507931.5,EA
REF-2023-17,SKU-023-17,DC01,D41-5,1602,24559.77,39344751.54,LB
REF-2025-18,SKU-025-18,DC01,B12-5,3815,68793.48,262447126.2,EA
REF-2024-19,SKU-024-19,DC02,C49-4,4145,66791.02,276848777.9,BX
REF-2023-20,SKU-023-20,DC02,D41-2,2259,84002.3,189761195.7,BX
REF-2025-21,SKU-025-21,WH02,D45-2,1762,8149.71,14359789.02,EA
ITM-316881,SKU-316881,DC02,A49-5,3451,195.35,674152.85,BX
REF-2024-22,SKU-024-22,DC01,D35-5,4951,689.02,3411338.02,CS
REF-2024-23,SKU-024-23,DC01,B40-5,230,66920.47,15391708.1,BX
REF-2024-24,SKU-024-24,WH02,A17-4,2691,13656.38,36749318.58,CS
REF-2024-25,SKU-024-25,DC01,A48-5,436,25301.93,11031641.48,PK
REF-2023-26,SKU-023-26,WH02,B09-4,947,83938.96,79490195.12,KG
REF-2025-27,SKU-025-27,WH02,C07-5,220,60764.02,13368084.4,PK
REF-2025-28,SKU-025-28,WH01,C44-5,1001,83074.11,83157184.11,PC
REF-2024-29,SKU-024-29,WH03,A27-4,874,6988.78,6108193.72,BX
REF-2025-30,SKU-025-30,WH03,E35-4,3818,52222.5,199385505.0,BX
REF-2023-31,SKU-023-31,WH02,D37-5,3114,27964.93,87082792.02,PK
REF-2024-32,SKU-024-32,WH03,E45-3,4563,79803.45,364143142.35,EA
REF-2025-33,SKU-025-33,DC01,D29-1,772,75840.65,58548981.8,PK
REF-2025-34,SKU-025-34,DC01,E22-3,3727,36965.14,137769076.78,PK
SKU-300845,SKU-300845,WH03,E49-5,1782,369.56,658555.92,KG
REF-2024-35,SKU-024-35,WH03,B24-2,2486,98053.01,243759782.86,EA
406327,SKU-406327,DC01,A01-5,1044,319.3,333349.2,PK
REF-2024-36,SKU-024-36,WH02,A17-4,944,47923.55,45239831.2,PC
REF-2025-37,SKU-025-37,WH03,A16-1,4581,5455.55,24991874.55,PC
REF-2024-38,SKU-024-38,DC01,C37-5,503,29805.58,14992206.74,KG
REF-2025-39,SKU-025-39,WH01,B01-4,3700,8210.63,30379331.0,LB
REF-2025-40,SKU-025-40,PLANT01,B17-5,1630,85974.71,140138777.3,BX
REF-2023-41,SKU-023-41,DC02,E19-4,1028,7233.84,7436387.52,BX
141797,SKU-141797,DC02,C02-1,3549,367.53,1304363.97,CS
715643,SKU-715643,PLANT01,C37-1,179,499.79,89462.41,PC
REF-2023-42,SKU-023-42,DC01,C12-5,3580,47103.03,168628847.4,LB
REF-2024-43,SKU-024-43,WH03,D45-4,2371,67046.34,158966872.14,LB
REF-2024-44,SKU-024-44,WH01,E30-4,454,32395.05,14707352.7,CS
REF-2025-45,SKU-025-45,DC01,D08-1,4997,13188.22,65901535.34,PC
REF-2024-46,SKU-024-46,DC01,A42-2,4092,9411.6,38512267.2,LB
REF-2025-47,SKU-025-47,WH03,D22-5,2198,87944.69,193302428.62,PC
REF-2025-48,SKU-025-48,DC01,E31-3,2733,49015.07,133958186.31,KG
REF-2023-49,SKU-023-49,WH01,C48-4,3133,57222.58,179278343.14,BX
REF-2025-50,SKU-025-50,DC01,A34-4,135,33266.27,4490946.45,LB
REF-2024-51,SKU-024-51,DC01,A22-5,3123,33922.27,105939249.21,PK
REF-2025-52,SKU-025-52,PLANT01,A28-1,833,68471.52,57036776.16,BX
REF-2024-53,SKU-024-53,DC02,D37-2,1402,43125.61,60462105.22,CS
REF-2025-54,SKU-025-54,PLANT01,C30-3,86,14397.46,1238181.56,PC
REF-2024-55,SKU-024-55,WH03,D45-3,3752,94529.04,354672958.08,PC
PRD-699704,SKU-699704,PLANT01,C02-4,2950,287.83,849098.5,PK
REF-2023-56,SKU-023-56,PLANT01,A39-4,2354,56636.31,133321873.74,PC
REF-2024-57,SKU-024-57,PLANT01,B41-1,332,67808.67,22512478.44,PK
REF-2024-58,SKU-024-58,WH02,B09-5,3007,32739.24,98446894.68,KG
REF-2024-59,SKU-024-59,WH01,D05-2,1858,74681.28,138757818.24,PC
REF-2024-60,SKU-024-60,WH01,D24-3,4798,1490.47,7151275.06,BX
REF-2024-61,SKU-024-61,WH01,A20-4,961,64959.02,62425618.22,EA
REF-2025-62,SKU-025-62,DC02,D38-2,3408,94943.14,323566221.12,LB
REF-2025-63,SKU-025-63,DC01,B24-1,3019,37115.94,112053022.86,KG
