CountSessionID,ItemCode,Location,Bin,CountQuantity,UnitCostAtCount,CountValue,UOM
CNT00000001,REF-2024-1,DC01,B18-4,2056,72848.54,149776598.24,PC
CNT00000002,REF-2023-2,WH02,B27-4,3953,44368.76,175389708.28,CS
CNT00000003,REF20243,PLANT01,E43-4,1278,90254.04,115344663.12,CS
CNT00000004,REF-2023-4,DC02,D33-5,1299,96874.07,125839416.93,EA
CNT00000005,REF-2025-5,DC02,B38-5,335,8103.14,2714551.9,KG
CNT00000006,MAT-515011,WH03,D21-1,68,336.17,22859.56,EA
CNT00000007,REF-2024-6,WH02,C05-2,3037,62153.81,188761120.97,PK
CNT00000008,SKU-559469,WH03,E42-5,427,272.07,116173.89,EA
CNT00000009,413921,WH02,C08-1,478,332.03,158710.34,LB
CNT00000010,REF-2025-7,PLANT01,C33-4,2067,15629.25,32305659.75,PC
CNT00000011,REF-2023-8,WH03,B48-4,4529,9320.62,42213087.98,LB
CNT00000012,REF-2024-9,DC02,B28-2,352,56134.6,19759379.2,PK
CNT00000013,REF-2025-10,WH01,B48-3,3382,86620.52,299053552.92,PC
CNT00000014,REF-2025-11,WH02,B02-2,3274,10898.75,35682507.5,PK
CNT00000015,REF-2024-12,WH01,C12-5-1,546,86448.86,47201077.56,EA
CNT00000016,REF-2024-12,WH01,C12-5-2,546,86448.86,47201077.56,EA
CNT00000017,REF-2024-12,WH01,C12-5-3,546,86448.86,47201077.56,EA
CNT00000018,REF-2024-12,WH01,C12-5-4,546,86448.86,47201077.56,EA
CNT00000019,REF202413,PLANT01,B24-4,583,89960.52,52446983.16,LB
CNT00000020,REF-2025-14,PLANT01,C36-2,1581,32799.59,49738528.77,BX
CNT00000021,REF-2023-15,DC02,E42-3,3819,64206.52,235211980.86,BX
CNT00000022,REF-2025-16,WH02,C15-2,1217,47371.3,57650872.1,EA
CNT00000023,REF-2023-17,PLANT01,D32-4-1,1004,24559.77,24658009.08,CS
CNT00000024,REF-2023-17,PLANT01,D32-4-2,1004,24559.77,24658009.08,CS
CNT00000025,REF-2025-18,DC02,B08-4,1102,68793.48,75810414.96,PC
CNT00000026,REF-2024-19,DC02,D11-4,3696,66791.02,246859609.92,PK
CNT00000027,REF-2023-20,WH01,C16-3,2761,84002.3,231930350.3,PK
CNT00000028,REF-2025-21,DC01,D22-5,3826,8149.71,31180790.46,BX
CNT00000029,202422,DC01,B18-4,3988,689.02,2747811.76,EA
CNT00000030,REF-2024-23,DC02,E43-1-1,232,66920.47,15525549.04,LB
CNT00000031,REF-2024-23,DC02,E43-1-2,232,66920.47,15525549.04,LB
CNT00000032,REF-2024-23,DC02,E43-1-3,233,66920.47,15592469.51,LB
CNT00000033,REF-2024-24,DC01,C22-4,2289,13656.38,31259453.82,PC
CNT00000034,REF-2024-25,WH02,A50-1,264,25301.93,6679709.52,CS
CNT00000035,REF-2023-26,WH02,D45-3,3031,83938.96,254418987.76,CS
CNT00000036,REF-2025-27,DC02,D26-2,632,60764.02,38402860.64,KG
CNT00000037,REF-2025-28,DC02,A23-5,3519,83074.11,292337793.09,LB
CNT00000038,REF-2024-29,WH03,D46-2,3577,6988.78,24998866.06,CS
CNT00000039,REF-2025-30,PLANT01,E18-3,2021,52222.5,105541672.5,PC
CNT00000040,REF-2023-31,WH01,D21-2,4004,27964.93,111971579.72,CS
CNT00000041,REF-2024-32,DC02,B06-2,3339,79803.45,266463719.55,BX
CNT00000042,REF-2025-33,WH02,D45-2,2518,75840.65,190966756.7,LB
CNT00000043,REF-2025-34,WH03,C15-1,1587,35260.47,58663677.18,PK
CNT00000044,REF-2024-35,PLANT01,E09-3,382,98053.01,37456249.82,EA
CNT00000045,REF-2024-36,WH01,D32-1,4736,47923.55,226965932.8,LB
CNT00000046,REF-2025-37,DC01,E39-5,1858,5621.0,10136411.9,PC
CNT00000047,REF-2024-38,PLANT01,A49-2,1738,29805.58,51802098.04,PK
CNT00000048,REF202539,DC02,D19-1,1906,8210.63,15649460.78,PK
CNT00000049,REF-2025-40,WH01,E15-2,2186,85974.71,187940716.06,PC
CNT00000050,REF-2023-41,PLANT01,C45-4,2240,7448.24,16203801.6,KG
CNT00000051,REF-2023-42,DC01,A31-3,3355,47103.03,158030665.65,PK
CNT00000052,REF-2024-43,DC01,E03-4,731,67046.34,49010874.54,PK
CNT00000053,REF-2024-44,DC02,C40-4,3631,31844.59,117626426.55,PC
CNT00000054,REF-2025-45,WH02,B20-5,122,13188.22,1608962.84,KG
CNT00000055,REF-2024-46,WH03,E46-3,3413,9411.6,32121790.8,PC
CNT00000056,PRD-595158,WH02,D13-5,125,228.94,28617.5,KG
CNT00000057,REF-2025-47,WH01,C47-3,4818,87944.69,423717516.42,KG
CNT00000058,REF-2025-48,DC02,D30-3,1555,49015.07,76218433.85,LB
CNT00000059,REF-2023-49,PLANT01,B32-1-1,208,57222.58,11902296.64,KG
CNT00000060,REF-2023-49,PLANT01,B32-1-2,208,57222.58,11902296.64,KG
CNT00000061,REF-2023-49,PLANT01,B32-1-3,208,57222.58,11902296.64,KG
CNT00000062,REF-2023-49,PLANT01,B32-1-4,208,57222.58,11902296.64,KG
CNT00000063,REF-2023-49,PLANT01,B32-1-5,212,57222.58,12131186.96,KG
CNT00000064,REF-2025-50,WH02,D42-2,622,33266.27,20691619.94,BX
CNT00000065,REF-2024-51,PLANT01,D35-1,570,33922.27,19335693.9,CS
CNT00000066,REF-2025-52,WH02,C02-1,2667,66975.97,182613543.84,PC
CNT00000067,REF-2024-53,WH01,E25-5,1982,43125.61,85474959.02,BX
CNT00000068,REF-2025-54,DC01,C44-5,1304,14397.46,18774287.84,EA
