PayPeriod,JournalID,SalaryExpense,TaxExpense,BenefitsExpense,CashPaid,Currency,DepartmentCode,AllocationRef
2026-PP06,REF-2023-1,137462.21,14332.33,27002.57,97800.65,USD,OPS,ALLOC-200
2026-PP11,REF-2025-2,111809.63,10963.99,13952.79,75550.99,USD,ADMIN,ALLOC-500
2026-PP08,REF-2023-3,45588.24,5298.12,8477.75,33874.75,USD,SALES,ALLOC-400
2025-PP15,JE-DOC-2025-608993,9169.87,812.17,1038.32,6788.7,USD,ADMIN,ALLOC-200
2025-PP19,REF-2024-4,112543.85,12285.63,18832.69,80768.95,USD,IT,ALLOC-600
2026-PP01,REF-2025-5,13289.36,1301.62,1889.59,9931.95,USD,HR,ALLOC-200
2025-PP21,JE-INV-2024-324130,4995.73,572.44,950.41,3120.81,USD,SALES,ALLOC-400
2026-PP03,REF-2024-6,123976.06,10997.67,13122.66,92659.16,USD,FIN,ALLOC-200
2025-PP24,REF-2025-7,80972.28,6737.25,9601.9,54265.3,USD,SALES,ALLOC-400
2025-PP21,REF-2025-8,9533.71,985.28,1451.78,6928.4,USD,ENG,ALLOC-500
2025-PP22,REF-2025-9,46783.46,5493.75,4721.93,31486.97,USD,MKT,ALLOC-600
2025-PP18,REF-2023-10,55018.42,4629.44,10333.16,37015.76,USD,OPS,ALLOC-200
2025-PP22,REF-2025-11,93024.63,7606.02,12405.36,63460.37,USD,IT,ALLOC-500
2026-PP11,REF-2023-12,125272.76,11566.48,23789.07,94510.59,USD,IT,ALLOC-400
2025-PP20,REF-2023-13,133519.05,11945.88,15521.61,89902.57,USD,FIN,ALLOC-500
2025-PP13,REF-2023-14,117406.29,12685.88,16231.91,88153.48,USD,OPS,ALLOC-600
2025-PP14,JE-REF-2023-956253,13303.12,1552.98,1795.47,9619.23,USD,HR,ALLOC-200
2026-PP01,REF-2023-15,39269.78,3322.76,7737.72,26393.69,USD,MKT,ALLOC-100
2026-PP01,REF-2023-15,21328.73,2527.48,2699.08,15968.04,USD,MKT,ALLOC-100
2026-PP01,REF-2023-15,29646.3,2887.03,5124.5,22430.76,USD,MKT,ALLOC-100
2026-PP01,REF-2023-15,1696.36,176.84,256.39,1244.82,USD,MKT,ALLOC-100
2025-PP19,REF202416,124708.62,14710.0,23953.67,89960.52,USD,MKT,ALLOC-300
2025-PP23,REF-2025-17,119666.44,10491.59,19923.62,84816.73,USD,OPS,ALLOC-500
2025-PP19,REF-2024-18,91981.77,8940.22,14532.98,67764.06,USD,OPS,ALLOC-500
2026-PP02,REF-2025-19,43813.36,4668.5,7094.53,32292.7,USD,ENG,ALLOC-100
2025-PP21,REF-2023-20,107175.27,12792.17,17268.87,81860.5,USD,SALES,ALLOC-300
2026-PP09,REF-2023-21,61499.85,6533.89,6184.09,45596.08,USD,IT,ALLOC-400
2025-PP20,REF-2023-22,109903.85,12825.65,12324.16,77864.2,USD,SALES,ALLOC-500
2026-PP11,REF-2023-23,61046.98,6719.51,11231.81,43918.25,USD,ADMIN,ALLOC-600
2026-PP11,REF-2023-23,30716.73,3412.84,4560.2,22661.44,USD,ADMIN,ALLOC-600
2026-PP11,REF-2023-23,7200.05,702.69,1233.76,5341.88,USD,ADMIN,ALLOC-600
