TaxType,Jurisdiction,FilingPeriod,TransactionCount,TaxableBase,CalculatedTax,Adjustments,EntityID
EXCISE,CA-ON,REF-2025-1,9225,512030.36,72939.77,0,ENT324
EXCISE,UK,REF-2024-2,3583,435768.5,40176.36,0,ENT771
PAYROLL,DE,REF-2023-3,6030,726724.72,74524.4,0,ENT324
INCOME,JP,REF-2025-4,4219,119630.75,16082.2,-236.76,ENT666
VAT,FR,REF-2025-5,153,636358.96,75112.69,0,ENT839
VAT,US-NY,REF-2023-6,6226,398769.14,87064.81,0,ENT880
PROPERTY,US-FL,REF-2025-7,4023,448826.85,32483.19,0,ENT159
PAYROLL,US-NY,REF-2023-8,4442,481380.86,97800.65,-49.44,ENT640
EXCISE,UK,REF-2025-9,7277,614347.32,69017.78,0,ENT629
VAT,US-CA,REF-2025-10,614,589480.12,55436.76,262.21,ENT980
PAYROLL,AU,2025-Q3,7844,1396825.82,271920.8,0,ENT584
INCOME,FR,REF-2024-11,987,105183.24,19121.95,0,ENT789
INCOME,US-TX,REF-2023-12,1335,158598.64,24940.77,-633.02,ENT553
INCOME,US-FED,REF-2023-13,2797,658627.74,96902.73,0,ENT488
VAT,US-FL,REF-2024-14,3666,382123.49,69689.49,0,ENT159
PROPERTY,US-NY,REF-2023-15,1222,952480.12,58459.34,0,ENT709
EXCISE,CA-FED,REF-2024-16,5015,209802.33,20505.49,0,ENT568
SALES,US-TX,REF-2023-17,6154,49073.29,7418.75,-301.98,ENT391
EXCISE,US-CA,REF-2025-18,2300,248060.05,52941.18,0,ENT370
GST,JP,REF-2025-19,8104,233047.02,21141.9,0,ENT357
EXCISE,FR,REF-2023-20,9138,2560.04,454.21,0,ENT822
PROPERTY,UK,2026-Q2,9643,2843452.5,452444.64,0,ENT540
PROPERTY,US-FED,REF-2023-21,5962,18619.53,4278.7,0,ENT315
VAT,US-NY,REF-2024-22,6855,414140.66,97386.32,0,ENT125
SALES,DE,REF-2025-23,734,836097.57,86420.0,0,ENT979
GST,US-CA,REF-2024-24,4673,450926.3,82071.58,0,ENT459
GST,US-FED,REF-2023-25,1876,135598.61,11622.64,0,ENT710
PAYROLL,JP,REF-2025-26,3328,132396.86,11653.01,-127.88,ENT472
GST,DE,REF-2025-27,4944,560125.54,84816.73,0,ENT667
PROPERTY,US-FED,REF-2025-28,5078,551151.82,90290.27,0,ENT393
PROPERTY,CA-ON,REF-2024-29,2880,476970.95,44234.42,0,ENT774
VAT,US-NY,REF-2023-30,500,443546.19,81860.5,0,ENT147
VAT,CA-FED,REF-2025-31,190,454349.19,57609.52,0,ENT868
SALES,FR,REF-2025-32,2284,321052.81,51843.98,0,ENT920
VAT,CA-ON,REF-2024-33,7877,264959.67,61303.97,0,ENT560
GST,JP,REF-2024-34,1420,411059.88,44043.27,0,ENT241
VAT,DE,REF-2023-35,6481,262078.7,41545.3,0,ENT888
PROPERTY,DE,REF-2024-36,8918,435191.2,47750.28,0,ENT865
EXCISE,DE,REF-2023-37,2804,490390.78,27366.24,0,ENT960
PROPERTY,FR,REF-2025-38,3077,845683.32,56482.76,0,ENT151
PAYROLL,US-FED,REF-2024-39,5833,277716.72,27897.84,-961.23,ENT329
INCOME,CA-FED,REF-2023-40,1974,114858.89,20016.13,0,ENT677
PAYROLL,US-FED,REF-2025-41,5211,295604.69,60764.02,-377.92,ENT689
GST,CA-FED,REF-2025-42,9937,700948.23,69092.38,0,ENT924
INCOME,US-CA,REF-2025-43,7202,706638.61,37120.03,0,ENT470
GST,UK,REF-2025-44,4122,565122.25,77486.68,0,ENT950
PROPERTY,US-FL,REF-2025-45,5676,303609.87,66852.03,-575.76,ENT386
EXCISE,FR,REF-2023-46,8141,163906.01,24211.47,0,ENT558
EXCISE,JP,REF-2023-47,5519,190983.28,30689.98,0,ENT460
VAT,US-TX,REF-2024-48,8033,50144.66,12043.52,0,ENT383
PAYROLL,US-NY,REF-2023-49,4594,872068.13,83279.57,-971.7,ENT146
INCOME,UK,REF-2024-50,3120,62789.46,10348.51,0,ENT152
