TaxReturnID,TaxType,Jurisdiction,FilingPeriod,ReportedTax,PaymentsMade,Refunds,EntityID
TR00000001,EXCISE,UK,REF-2025-1,72939.77,69559.94,5994.21,ENT963
TR00000002,INCOME,DE,REF-2024-2,40176.36,35828.09,0,ENT758
TR00000003,VAT,JP,REF-2023-3,74524.4,60974.51,817.15,ENT605
TR00000004,PROPERTY,US-FED,REF-2025-4,16082.2,15183.92,0,ENT796
TR00000005,EXCISE,US-FL,REF-2025-5,75112.69,71536.76,0,ENT612
TR00000006,VAT,JP,REF-2023-6,87064.81,85714.16,0,ENT897
TR00000007,VAT,AU,REF-2025-7,32483.19,26543.01,0,ENT180
TR00000008,PROPERTY,AU,REF-2023-8,97800.65,97103.58,0,ENT533
TR00000009,INCOME,US-CA,REF-2025-9,69017.78,58315.85,0,ENT353
TR00000010,GST,US-CA,REF-2025-10,55436.76,46988.25,0,ENT626
TR00000011,EXCISE,CA-FED,REF-2024-11,19121.95,15529.37,0,ENT200
TR00000012,PROPERTY,JP,REF-2023-12,24940.77,20204.96,0,ENT200
TR00000013,SALES,DE,REF202313,96902.73,95478.61,0,ENT371
TR00000014,PAYROLL,CA-ON,REF-2024-14,69689.49,56601.21,0,ENT655
TR00000015,INCOME,US-CA,REF-2023-15,3972.95,3374.0,0,ENT683
TR00000016,INCOME,US-CA,REF-2023-15,46408.43,42875.65,0,ENT683
TR00000017,INCOME,US-CA,REF-2023-15,8077.96,7405.34,0,ENT683
TR00000018,GST,US-CA,REF-2024-16,20505.49,18283.87,0,ENT109
TR00000019,VAT,FR,REF-2023-17,7418.75,6741.0,0,ENT953
TR00000020,SALES,US-CA,REF-2025-18,52941.18,48210.61,0,ENT860
TR00000021,PROPERTY,US-FED,REF-2025-19,21141.9,19595.52,0,ENT194
TR00000022,INCOME,JP,REF-2023-20,454.21,373.53,0,ENT109
TR00000023,EXCISE,US-TX,REF-2023-21,4278.7,3510.92,0,ENT782
