APInvoiceID,VendorID,VendorName,InvoiceNumber,InvoiceDate,DueDate,Currency,InvoiceAmount
AP00000001,V51245,Huerta-Holland,REF-2023-1,2026-03-28,2026-05-12,CAD,91322.3
AP00000003,V28301,"Thomas, Ramirez and Rose",REF-2025-2,2025-10-24,2025-12-08,CAD,45939.3
AP00000005,V86484,"Robinson, Patton and Mccarthy",REF-2024-3,2026-01-16,2026-04-16,USD,74726.68
AP00000007,V24371,"Martin, Pham and Carson",REF-2025-4,2025-07-05,2025-08-19,CAD,49402.23
AP00000009,V88172,"Diaz, Lloyd and Mccormick",724834,2026-01-13,2026-02-27,GBP,5232.81
AP00000010,V99166,"Castillo, Johnson and Johnson",REF-2025-5,2025-06-16,2025-07-16,CAD,86091.89
AP00000012,V66985,Richardson LLC,REF-2025-6,2025-11-08,2025-12-23,EUR,34083.53
AP00000014,V76542,Sanchez-Harvey,REF-2025-7,2026-02-22,2026-03-24,CAD,26412.57
AP00000018,V79514,Simpson PLC,REF-2023-8,2025-09-01,2025-10-01,GBP,37453.99
AP00000020,V41571,"Mcdaniel, Hale and Holland",REF-2024-9,2025-11-15,2025-12-15,USD,87884.32
AP00000022,V79163,"Sandoval, Young and Edwards",REF-2023-10,2026-03-19,2026-06-17,USD,66009.11
AP00000024,V67422,Underwood Ltd,REF-2025-11,2026-05-20,2026-08-18,USD,31240.46
AP00000026,V38864,"Miller, Hoffman and Garcia",REF-2025-12,2026-04-08,2026-05-08,USD,55436.76
AP00000028,V53309,Miller-Duncan,REF-2023-13,2025-06-27,2025-07-27,GBP,6833.29
AP00000030,V27342,Rodriguez-Arnold,REF-2025-14,2026-03-14,2026-06-12,USD,48592.91
AP00000032,V66498,Hill LLC,REF-2023-15,2026-05-14,2026-07-13,EUR,9523.15
AP00000034,V94696,Oliver-Anderson,REF-2025-16,2026-05-11,2026-06-10,USD,5511.7
AP00000036,V42591,Brooks-Bray,REF-2024-17,2025-08-05,2025-09-19,USD,80079.19
AP00000038,V70637,Allen Ltd,REF-2023-18,2025-10-31,2025-12-15,USD,42245.98
AP00000040,V11934,Martinez Group,REF-2023-19,2026-03-14,2026-04-13,USD,5153.77
AP00000042,V17685,Moreno LLC,REF-2024-20,2026-01-02,2026-02-16,EUR,48187.71
AP00000044,V47388,Horne Group,REF-2024-21,2026-01-29,2026-04-29,CAD,92659.16
AP00000046,V38534,"Green, Roberts and Smith",REF-2025-22,2025-09-16,2025-10-16,GBP,48718.47
AP00000051,V30635,"Wade, Waller and Nguyen",REF-2024-23,2026-03-09,2026-04-08,GBP,50334.75
AP00000053,V40828,Chaney PLC,REF-2023-24,2026-05-22,2026-08-20,USD,59544.01
AP00000055,V20745,Fernandez Inc,REF-2025-25,2026-04-24,2026-07-23,CAD,59492.46
AP00000057,V36772,Kane-Mcconnell,REF-2025-26,2025-10-22,2025-12-21,USD,31705.35
AP00000059,V69929,Good Inc,REF-2023-27,2025-11-11,2026-01-10,USD,67201.85
AP00000061,V19602,Johnson PLC,REF-2025-28,2025-08-01,2025-09-15,GBP,99845.6
AP00000063,V30676,"Frye, Brennan and Robles",REF-2024-29,2025-10-14,2026-01-12,GBP,88098.33
AP00000065,V96951,"Lang, Campbell and Richardson",REF-2025-30,2025-11-11,2025-12-11,USD,81728.7
AP00000067,V45697,Bailey Ltd,REF-2023-31,2025-08-29,2025-10-28,GBP,74267.43
AP00000069,V76244,Allen-Gonzalez,REF-2024-32,2026-05-01,2026-07-30,USD,20439.37
AP00000071,V10464,Ramirez PLC,SI-768061,2025-07-03,2025-08-17,EUR,25349.96
AP00000072,V66057,Ballard-Mccullough,REF-2025-33,2026-06-07,2026-07-07,USD,44239.37
AP00000074,V86350,Green-Livingston,REF-2023-34,2025-12-17,2026-01-31,EUR,54604.47
AP00000076,V56898,"Bryan, Montgomery and Green",REF-2024-35,2025-07-01,2025-08-15,CAD,36528.69
AP00000078,V63264,Acosta-Gonzalez,REF-2023-36,2026-03-24,2026-05-08,USD,35432.5
AP00000080,V63964,"Schaefer, Greene and Barajas",REF-2024-37,2025-11-28,2026-01-12,USD,2576.16
AP00000083,V39219,"Solis, Mckenzie and Fisher",REF-2024-38,2025-10-05,2025-11-04,CAD,35030.88
AP00000085,V46585,"Kane, Martin and Clark",REF-2024-39,2025-07-16,2025-09-14,CAD,27932.45
AP00000087,V33405,"Mitchell, Sanchez and Nelson",REF-2023-40,2025-10-22,2025-12-21,USD,87716.14
AP00000089,V67199,Christensen-Cruz,REF-2024-41,2025-11-18,2025-12-18,EUR,34634.14
AP00000091,V10221,"Gray, Brown and Lawson",REF-2024-42,2026-01-20,2026-03-06,USD,4534.21
AP00000093,V51145,"Dean, Brown and Dominguez",REF-2025-43,2026-04-26,2026-05-26,CAD,92085.01
AP00000095,V62743,Morales-Walker,REF-2024-44,2025-11-25,2026-01-24,GBP,66722.6
AP00000097,V98777,Carpenter Ltd,REF-2024-45,2025-12-22,2026-02-05,GBP,66526.45
AP00000099,V37549,Burgess PLC,REF-2024-46,2025-06-11,2025-09-09,GBP,54838.93
AP00000101,V38010,Brady and Sons,REF-2024-47,2026-05-22,2026-08-20,CAD,44234.42
AP00000103,V92960,"Davis, Mays and Lopez",REF-2023-48,2026-05-16,2026-07-15,USD,28450.26
AP00000105,V29313,Chase LLC,REF-2024-49,2025-09-20,2025-10-20,USD,22541.6
AP00000107,V69692,Davis-Gonzalez,REF-2025-50,2025-07-18,2025-10-16,CAD,84988.8
AP00000109,V29342,"Hines, Soto and Clark",REF-2025-51,2026-02-19,2026-03-21,USD,69665.79
AP00000111,V83060,Donaldson-Diaz,REF-2025-52,2025-07-06,2025-08-20,USD,51843.98
AP00000113,V88047,Johnson-Williams,REF-2024-53,2026-03-24,2026-05-23,EUR,66791.02
AP00000115,V68446,"Roberts, Jennings and Nelson",REF-2025-54,2026-03-18,2026-05-02,CAD,42731.4
AP00000117,V46347,Combs Inc,REF-2024-55,2026-05-03,2026-08-01,CAD,75202.5
AP00000119,V40735,"Carlson, Howe and Coleman",REF-2024-56,2025-11-04,2026-01-03,USD,7840.59
