StatementLineID,SupplierAccountNumber,VendorName,StatementDate,InvoiceNumber,InvoiceDate,Currency,StatementAmount
SL00000002,V75435,,2026-03-28,REF-2023-1,2026-03-28,EUR,91322.3
SL00000004,V83579,,2025-10-24,REF-2025-2,2025-10-24,GBP,45939.3
SL00000006,V38746,,2026-01-16,REF-2024-3,2026-01-16,USD,74726.68
SL00000008,V30969,,2025-07-05,REF-2025-4,2025-07-05,CAD,49402.23
SL00000011,V80381,,2025-06-16,REF-2025-5,2025-06-16,USD,86091.89
SL00000013,V10425,,2025-11-08,REF-2025-6,2025-11-08,CAD,34083.53
SL00000015,V89818,,2026-02-22,REF-2025-7,2026-02-22,USD,7882.69
SL00000016,V89818,,2026-02-22,REF-2025-7,2026-02-22,USD,8993.6
SL00000017,V89818,,2026-02-22,REF-2025-7,2026-02-22,USD,9536.28
SL00000019,V52487,,2025-09-01,REF-2023-8,2025-09-01,EUR,37228.5
SL00000021,V73699,,2025-11-15,REF-2024,2025-11-15,USD,87884.32
SL00000023,V80686,,2026-03-19,REF-2023,2026-03-19,CAD,66009.11
SL00000025,V42493,,2026-05-20,REF-2025-11,2026-05-20,USD,30861.57
SL00000027,V92719,,2026-04-08,REF-2025-12,2026-04-08,USD,55436.76
SL00000029,V41195,,2025-06-27,REF-2023-13,2025-06-27,USD,6833.29
SL00000031,V71993,,2026-03-14,REF-2025-14,2026-03-14,EUR,48592.91
SL00000033,V63883,,2026-05-14,REF-2023-15,2026-05-14,EUR,9523.15
SL00000035,V62772,,2026-05-11,REF-2025-16,2026-05-11,CAD,5511.7
SL00000037,V80292,,2025-08-05,REF-2024-17,2025-08-05,EUR,80079.19
SL00000039,V68082,,2025-10-31,REF-2023-18,2025-10-31,GBP,42245.98
SL00000041,V31798,,2026-03-14,REF-2023-19,2026-03-14,EUR,5153.77
SL00000043,V10282,,2026-01-02,REF-2024-20,2026-01-02,EUR,48187.71
SL00000045,V82845,,2026-01-29,REF-2024-21,2026-01-29,CAD,92659.16
SL00000047,V16572,,2025-09-16,REF-2025-22,2025-09-16,GBP,2969.76
SL00000048,V16572,,2025-09-16,REF-2025-22,2025-09-16,GBP,12308.59
SL00000049,V16572,,2025-09-16,REF-2025-22,2025-09-16,GBP,20565.64
SL00000050,V16572,,2025-09-16,REF-2025-22,2025-09-16,GBP,12874.48
SL00000052,V20500,,2026-03-09,REF-2024-23,2026-03-09,USD,50334.75
SL00000054,V84668,,2026-05-22,REF-2023-24,2026-05-22,USD,59544.01
SL00000056,V86503,,2026-04-24,REF-2025-25,2026-04-24,GBP,59492.46
SL00000058,V44814,,2025-10-22,REF-2025-26,2025-10-22,EUR,31705.35
SL00000060,V11220,,2025-11-11,REF-2023-27,2025-11-11,EUR,67201.85
SL00000062,V44760,,2025-08-01,REF-2025-28,2025-08-01,USD,99845.6
SL00000064,V49651,,2025-10-14,2024-29,2025-10-14,GBP,88098.33
SL00000066,V44664,,2025-11-11,REF-2025-30,2025-11-11,USD,81728.7
SL00000068,V37607,,2025-08-29,REF-2023-31,2025-08-29,CAD,74267.43
SL00000070,V16658,,2026-05-01,REF-2024-32,2026-05-01,USD,20958.37
SL00000073,V19862,,2026-06-07,REF-2025-33,2026-06-07,CAD,44239.37
SL00000075,V26704,,2025-12-17,REF-2023-34,2025-12-17,USD,54604.47
SL00000077,V42706,,2025-07-01,REF-2024-35,2025-07-01,CAD,36528.69
SL00000079,V31299,,2026-03-24,REF-2023-36,2026-03-24,USD,35432.5
SL00000081,V30866,,2025-11-28,REF-2024-37,2025-11-28,CAD,2576.16
SL00000082,V60140,,2025-09-02,333238,2025-08-05,EUR,43672.26
SL00000084,V35313,,2025-10-05,REF-2024-38,2025-10-05,EUR,35030.88
SL00000086,V76768,,2025-07-16,REF-2024-39,2025-07-16,EUR,28724.6
SL00000088,V24208,,2025-10-22,REF-2023-40,2025-10-22,GBP,87716.14
SL00000090,V85574,,2025-11-18,REF-2024-41,2025-11-18,USD,34634.14
SL00000092,V66531,,2026-01-20,REF-2024-42,2026-01-20,USD,4534.21
SL00000094,V49363,,2026-04-26,REF-2025-43,2026-04-26,GBP,92085.01
SL00000096,V26683,,2025-11-25,REF-2024-44,2025-11-25,USD,66722.6
SL00000098,V84593,,2025-12-22,REF-2024-45,2025-12-22,USD,66526.45
SL00000100,V89516,,2025-06-11,REF202446,2025-06-11,CAD,54838.93
SL00000102,V32241,,2026-05-22,REF-2024-47,2026-05-22,CAD,44234.42
SL00000104,V40784,,2026-05-16,REF-2023-48,2026-05-16,CAD,28450.26
SL00000106,V42092,,2025-09-20,REF-2024-49,2025-09-20,EUR,22541.6
SL00000108,V85454,,2025-07-18,REF-2025-50,2025-07-18,USD,84988.8
SL00000110,V65724,,2026-02-19,REF-2025,2026-02-19,USD,69665.79
SL00000112,V69829,,2025-07-06,REF-2025-52,2025-07-06,USD,51843.98
SL00000114,V90301,,2026-03-24,REF-2024-53,2026-03-24,CAD,66791.02
SL00000116,V72216,,2026-03-18,REF-2025-54,2026-03-18,EUR,42731.4
SL00000118,V41358,,2026-05-03,REF-2024-55,2026-05-03,USD,75202.5
SL00000120,V51904,,2025-11-04,REF-2024-56,2025-11-04,GBP,7840.59
SL00000122,V38043,,2025-10-07,REF-2023-57,2025-10-07,USD,13923.57
SL00000123,V63424,,2026-01-24,165290,2026-01-09,EUR,16878.63
SL00000125,V10772,,2026-04-06,REF-2024-58,2026-04-06,USD,39008.73
SL00000127,V38760,,2026-01-11,REF-2024-59,2026-01-11,USD,75372.16
SL00000129,V31632,,2025-12-27,REF-2024-60,2025-12-27,EUR,48615.64
SL00000131,V94246,,2026-03-11,REF-2023,2026-03-11,EUR,98074.13
SL00000134,V55870,,2025-12-22,REF-2024-62,2025-12-22,USD,1761.34
SL00000135,V55870,,2025-12-22,REF-2024-62,2025-12-22,USD,14142.69
SL00000136,V55870,,2025-12-22,REF-2024-62,2025-12-22,USD,9425.19
SL00000137,V55870,,2025-12-22,REF-2024-62,2025-12-22,USD,8487.08
SL00000140,V72070,,2026-04-25,REF-2023-63,2026-04-25,CAD,83938.96
SL00000142,V31465,,2025-09-30,REF-2023-64,2025-09-30,USD,34196.92
SL00000143,V31465,,2025-09-30,REF-2023-64,2025-09-30,USD,6347.56
SL00000144,V31465,,2025-09-30,REF-2023-64,2025-09-30,USD,3354.53
SL00000145,V31465,,2025-09-30,REF-2023-64,2025-09-30,USD,10494.72
SL00000146,V31465,,2025-09-30,REF-2023-64,2025-09-30,USD,2046.83
SL00000148,V35995,,2025-11-17,REF-2023-65,2025-11-17,USD,57910.6
SL00000151,V58571,,2025-12-05,REF-2025-66,2025-12-05,USD,78285.27
